method,auroc_pct,fpr95_pct,tpr05_pct,cohens_d
ensemble_fixed,67.7%,90.5%,12.9%,0.5974199175834656
ensemble_robust,66.5%,87.9%,13.7%,0.5701007843017578
entropy_mean,54.1%,94.6%,7.0%,0.15953239798545837
entropy_select_20,48.1%,94.9%,3.9%,0.015427597798407078
entropy_select_30,51.8%,93.8%,4.4%,0.08706028759479523
entropy_select_40,55.0%,91.0%,6.2%,0.17439797520637512
entropy_weighted,55.7%,92.3%,6.5%,0.07122448831796646
entropy_weighted_mink_20,63.2%,92.0%,14.5%,0.25728562474250793
entropy_weighted_mink_30,62.2%,92.8%,10.1%,0.25067323446273804
entropy_weighted_mink_40,60.3%,92.8%,11.6%,0.16447821259498596
gradient_selected_20,67.1%,87.7%,14.2%,0.5855187773704529
gradient_selected_30,67.6%,90.2%,12.1%,0.5940455198287964
gradient_weighted,63.1%,88.9%,7.8%,0.42554545402526855
loss,61.9%,93.3%,15.2%,0.4097217517272338
low_entropy_only,55.8%,91.0%,8.0%,0.2223333865404129
median_20,62.8%,88.9%,15.2%,0.45461133122444153
median_30,62.1%,91.5%,12.1%,0.42578092217445374
median_40,62.8%,90.5%,11.6%,0.43809837102890015
mink_pp_10,66.3%,87.4%,12.4%,0.5359134078025818
mink_pp_20,67.1%,87.7%,14.2%,0.5851547718048096
mink_pp_30,67.6%,90.2%,12.1%,0.5931851267814636
mink_pp_40,68.1%,90.0%,14.5%,0.605370283126831
mink_pp_50,67.9%,90.2%,13.4%,0.5965111255645752
standard_mean_20,67.1%,87.7%,14.2%,0.5851547718048096
standard_mean_30,67.6%,90.2%,12.1%,0.5931851267814636
standard_mean_40,68.1%,90.0%,14.5%,0.605370283126831
tokenflow,66.2%,91.0%,13.7%,0.5602620244026184
trimmed_mean_20,65.8%,86.1%,14.7%,0.560102641582489
trimmed_mean_30,66.2%,91.0%,13.7%,0.5602620244026184
trimmed_mean_40,66.7%,89.7%,12.9%,0.5697913765907288
winsorized_mean_20,66.7%,86.1%,13.4%,0.5878037138167871
winsorized_mean_30,66.7%,87.9%,13.7%,0.5791861712265921
winsorized_mean_40,66.7%,90.7%,14.5%,0.5691293959066294
z_div_entropy,59.5%,95.6%,8.0%,0.06291819363832474
zlib,62.4%,91.0%,14.7%,0.4407492479689105
