method,auroc_pct,fpr95_pct,tpr05_pct,cohens_d
ensemble_fixed,66.5%,82.8%,11.9%,0.5408342480659485
ensemble_robust,66.1%,86.1%,11.4%,0.5578219890594482
entropy_mean,53.7%,93.3%,6.5%,0.1354903131723404
entropy_select_20,50.1%,90.7%,4.7%,0.11943173408508301
entropy_select_30,50.6%,90.0%,1.6%,0.10700046271085739
entropy_select_40,54.1%,92.3%,5.4%,0.1640646755695343
entropy_weighted,55.0%,89.5%,7.5%,0.13542389869689941
entropy_weighted_mink_20,62.7%,93.3%,10.9%,0.2151452898979187
entropy_weighted_mink_30,62.0%,87.7%,8.3%,0.4070207178592682
entropy_weighted_mink_40,59.8%,90.5%,8.8%,0.2556484639644623
gradient_selected_20,66.4%,85.9%,11.1%,0.5235238671302795
gradient_selected_30,66.4%,82.8%,11.9%,0.5459191203117371
gradient_weighted,64.1%,86.9%,6.2%,0.4609534442424774
loss,60.9%,90.5%,13.7%,0.38349002233067947
low_entropy_only,55.7%,90.2%,4.4%,0.19192098081111908
median_20,64.1%,90.0%,13.4%,0.4841269254684448
median_30,62.9%,91.0%,14.0%,0.4588788151741028
median_40,61.9%,91.3%,6.7%,0.40388819575309753
mink_pp_10,65.0%,85.6%,10.6%,0.43380704522132874
mink_pp_20,66.3%,85.9%,10.6%,0.5230487585067749
mink_pp_30,66.4%,82.8%,11.4%,0.5455353260040283
mink_pp_40,66.7%,82.8%,11.6%,0.5492531061172485
mink_pp_50,66.6%,83.5%,12.4%,0.5501275658607483
standard_mean_20,66.3%,85.9%,10.6%,0.5230487585067749
standard_mean_30,66.4%,82.8%,11.4%,0.5455353260040283
standard_mean_40,66.7%,82.8%,11.6%,0.5492531061172485
tokenflow,65.9%,85.9%,11.1%,0.5541650056838989
trimmed_mean_20,66.2%,87.4%,11.6%,0.5569734573364258
trimmed_mean_30,65.9%,85.9%,11.1%,0.5541650056838989
trimmed_mean_40,65.5%,86.9%,11.6%,0.5358242392539978
winsorized_mean_20,66.7%,88.7%,11.9%,0.5680432450497634
winsorized_mean_30,66.2%,86.4%,11.4%,0.5688307182483147
winsorized_mean_40,66.1%,88.2%,11.6%,0.5497841483315687
z_div_entropy,57.5%,93.1%,8.0%,0.11553946137428284
zlib,61.9%,91.5%,15.5%,0.4239973562661792
