method,auroc_pct,fpr95_pct,tpr05_pct,cohens_d
ensemble_fixed,62.9%,91.0%,11.9%,0.35175544023513794
ensemble_robust,62.9%,90.2%,10.1%,0.408071368932724
entropy_mean,53.7%,95.1%,8.5%,0.13655322790145874
entropy_select_20,51.4%,95.6%,2.6%,0.01567317172884941
entropy_select_30,53.0%,93.6%,5.9%,0.0410323441028595
entropy_select_40,53.0%,93.6%,2.6%,0.07472474128007889
entropy_weighted,55.4%,95.1%,7.2%,-0.05226413533091545
entropy_weighted_mink_20,61.1%,97.4%,5.4%,0.05042053759098053
entropy_weighted_mink_30,58.5%,95.6%,7.2%,0.06796964257955551
entropy_weighted_mink_40,58.2%,94.1%,10.6%,-0.02714650146663189
gradient_selected_20,63.2%,91.0%,9.8%,0.3518165349960327
gradient_selected_30,62.5%,91.3%,11.6%,0.34934404492378235
gradient_weighted,57.6%,90.7%,4.7%,0.2087634801864624
loss,58.2%,93.6%,10.9%,0.2880376575196129
low_entropy_only,54.1%,93.3%,4.1%,0.1091022863984108
median_20,60.3%,91.8%,8.3%,0.3215329051017761
median_30,59.1%,92.5%,4.7%,0.2799440026283264
median_40,56.7%,91.5%,5.9%,0.21946583688259125
mink_pp_10,63.5%,92.8%,9.8%,0.31840264797210693
mink_pp_20,63.2%,91.3%,9.6%,0.3505886495113373
mink_pp_30,62.6%,91.3%,11.9%,0.34963536262512207
mink_pp_40,62.2%,91.5%,12.7%,0.34740856289863586
mink_pp_50,62.2%,89.2%,10.6%,0.3479638695716858
standard_mean_20,63.2%,91.3%,9.6%,0.3505886495113373
standard_mean_30,62.6%,91.3%,11.9%,0.34963536262512207
standard_mean_40,62.2%,91.5%,12.7%,0.34740856289863586
tokenflow,62.4%,91.5%,10.1%,0.39317554235458374
trimmed_mean_20,63.6%,90.5%,9.3%,0.43283119797706604
trimmed_mean_30,62.4%,91.5%,10.1%,0.39317554235458374
trimmed_mean_40,61.7%,89.5%,9.0%,0.3718303442001343
winsorized_mean_20,64.1%,88.4%,9.6%,0.4247493225348871
winsorized_mean_30,63.0%,90.2%,10.9%,0.41037812493213494
winsorized_mean_40,62.1%,89.5%,9.3%,0.38546326108697687
z_div_entropy,56.5%,95.9%,5.2%,-0.042435817420482635
zlib,59.5%,89.5%,11.9%,0.3404540413249243
