method,auroc_pct,fpr95_pct,tpr05_pct,cohens_d
ensemble_fixed,66.2%,88.7%,11.9%,0.44345882534980774
ensemble_robust,67.1%,90.0%,9.6%,0.5611163377761841
entropy_mean,48.7%,93.6%,6.2%,-0.03004547208547592
entropy_select_20,53.9%,94.1%,6.5%,0.1036345511674881
entropy_select_30,56.6%,91.8%,7.2%,0.19164156913757324
entropy_select_40,59.0%,91.8%,6.5%,0.23236659169197083
entropy_weighted,58.5%,92.8%,7.8%,0.12478919327259064
entropy_weighted_mink_20,64.8%,92.3%,9.0%,0.18481101095676422
entropy_weighted_mink_30,60.5%,91.5%,9.8%,0.13196836411952972
entropy_weighted_mink_40,58.4%,91.3%,11.1%,0.13701845705509186
gradient_selected_20,66.2%,88.4%,12.1%,0.42816683650016785
gradient_selected_30,66.1%,89.2%,11.6%,0.44811514019966125
gradient_weighted,65.5%,84.8%,10.6%,0.4682213366031647
loss,56.1%,92.3%,10.6%,0.21739330424603207
low_entropy_only,58.5%,91.5%,5.9%,0.25292280316352844
median_20,65.2%,91.3%,9.6%,0.48924851417541504
median_30,63.2%,92.5%,9.6%,0.44568124413490295
median_40,62.5%,91.0%,10.6%,0.40516868233680725
mink_pp_10,64.6%,88.9%,11.1%,0.3418925702571869
mink_pp_20,66.2%,88.4%,11.9%,0.4276200234889984
mink_pp_30,66.1%,89.2%,12.1%,0.4481162428855896
mink_pp_40,66.1%,90.2%,11.1%,0.45619648694992065
mink_pp_50,65.9%,90.0%,9.6%,0.4573415219783783
standard_mean_20,66.2%,88.4%,11.9%,0.4276200234889984
standard_mean_30,66.1%,89.2%,12.1%,0.4481162428855896
standard_mean_40,66.1%,90.2%,11.1%,0.45619648694992065
tokenflow,66.8%,88.7%,10.3%,0.5530849695205688
trimmed_mean_20,67.4%,86.4%,9.8%,0.5698570013046265
trimmed_mean_30,66.8%,88.7%,10.3%,0.5530849695205688
trimmed_mean_40,66.5%,89.7%,8.8%,0.5323188304901123
winsorized_mean_20,67.4%,87.4%,11.6%,0.5307583593870018
winsorized_mean_30,67.0%,90.0%,9.8%,0.5523220382722103
winsorized_mean_40,66.6%,89.7%,9.0%,0.532018912663173
z_div_entropy,57.1%,94.1%,4.1%,0.08998651057481766
zlib,57.3%,92.5%,11.1%,0.26317198819912896
