method,auroc_pct,fpr95_pct,tpr05_pct,cohens_d
ensemble_fixed,64.1%,84.1%,10.3%,0.4200102686882019
ensemble_robust,63.6%,82.3%,9.6%,0.4921858012676239
entropy_mean,55.7%,92.3%,8.5%,0.19950810074806213
entropy_select_20,53.0%,88.7%,4.9%,0.1623619943857193
entropy_select_30,51.4%,86.9%,3.1%,0.15376102924346924
entropy_select_40,55.1%,90.7%,2.1%,0.18999676406383514
entropy_weighted,57.0%,87.1%,8.8%,0.0905100479722023
entropy_weighted_mink_20,61.9%,93.1%,12.7%,0.15847139060497284
entropy_weighted_mink_30,61.8%,90.5%,9.0%,0.28396227955818176
entropy_weighted_mink_40,57.7%,89.7%,8.8%,0.16235394775867462
gradient_selected_20,64.0%,83.8%,10.6%,0.4012410342693329
gradient_selected_30,64.1%,85.3%,9.6%,0.426921546459198
gradient_weighted,62.5%,87.1%,6.7%,0.42384371161460876
loss,61.4%,90.0%,14.7%,0.4034952942235398
low_entropy_only,56.1%,88.7%,6.2%,0.22928811609745026
median_20,61.6%,88.4%,11.9%,0.4172475337982178
median_30,61.2%,88.2%,13.2%,0.4099386930465698
median_40,61.2%,92.3%,12.1%,0.36268654465675354
mink_pp_10,62.9%,86.9%,9.3%,0.3139303922653198
mink_pp_20,64.0%,84.3%,10.6%,0.39986416697502136
mink_pp_30,64.1%,85.9%,10.3%,0.42496463656425476
mink_pp_40,64.2%,84.3%,11.1%,0.4392324984073639
mink_pp_50,64.2%,86.9%,11.6%,0.44275957345962524
standard_mean_20,64.0%,84.3%,10.6%,0.39986416697502136
standard_mean_30,64.1%,85.9%,10.3%,0.42496463656425476
standard_mean_40,64.2%,84.3%,11.1%,0.4392324984073639
tokenflow,63.5%,83.3%,9.6%,0.48835572600364685
trimmed_mean_20,63.3%,83.3%,10.6%,0.4881180226802826
trimmed_mean_30,63.5%,83.3%,9.6%,0.48835572600364685
trimmed_mean_40,63.6%,86.6%,11.1%,0.4778876006603241
winsorized_mean_20,63.9%,80.5%,9.8%,0.4910155990621786
winsorized_mean_30,63.8%,83.5%,8.8%,0.5044938294083947
winsorized_mean_40,63.6%,86.6%,9.8%,0.48176032214063774
z_div_entropy,58.7%,91.3%,6.5%,0.07421695441007614
zlib,62.1%,89.2%,15.8%,0.4381454142178223
